,Tin,Tmax1,Tout1,Tmax2,Tout2,Tcin1,Tcin2,z1,z2,Fi1,Fi2,Fs1,Fs2,Press,Conv,Mn,Mw,LCB,SCB
1,208.17,296.35,233.81,283.41,239.05,117.14,117.2,0.029,0.581,0.4507,0.4518,666.42,248.95,3021,0.1322,27379,160326,0.781,26.11
2,207.26,298.26,230.88,287.55,242.55,116.39,117.23,0.028,0.574,0.4765,0.5091,658.61,246.36,3033,0.1365,27043,165044,0.819,26.29
3,205.3,296.57,235.38,284.35,245.19,117.33,118.42,0.031,0.578,0.4744,0.4505,666.51,244.65,3004,0.1335,27344,165621,0.801,26.13
4,209.29,294.11,225.61,283.31,242.04,116.15,117.94,0.03,0.581,0.4429,0.4516,667.31,242.28,2980,0.13,27502,160497,0.778,25.92
5,206.76,295.13,230.26,283.74,244.92,116.75,118.49,0.03,0.579,0.4394,0.4414,670.83,244.31,2997,0.1316,27518,165713,0.786,26.02
6,205.81,295.6,236.06,286.68,245.03,117.59,117.95,0.03,0.573,0.4455,0.4994,659.27,244.89,2994,0.1342,27264,169889,0.815,26.17
7,207.2,299.25,240.06,285.38,244.89,117.69,118.09,0.028,0.578,0.4964,0.4796,655.58,246.73,3021,0.1347,27046,162606,0.809,26.32
8,209.69,300.19,237.43,281.46,240.78,117.19,117.89,0.026,0.588,0.5053,0.4375,671.34,246.3,3007,0.1317,27077,157505,0.785,26.23
9,204.95,295.1,237.88,281.66,239.83,117.92,117.64,0.032,0.586,0.4685,0.4562,667.7,247.18,2983,0.1318,27447,163002,0.789,25.98
10,208.84,293.63,226.69,286.79,245.77,116.41,118.11,0.03,0.575,0.4089,0.4976,667.09,244.57,3000,0.1319,27363,164396,0.792,26.04
11,207.64,298.06,230.38,285.39,241.7,116.35,117.47,0.028,0.576,0.4766,0.4644,667.94,247.32,3027,0.1346,27178,163048,0.802,26.21
12,205.51,298.34,233.76,284.01,244.68,116.83,118.37,0.028,0.578,0.4867,0.4384,656.94,245.36,3012,0.1343,27389,168225,0.804,26.17
13,204.99,298.62,236.16,286.2,243.73,117.16,117.71,0.029,0.576,0.4962,0.4955,659.57,247.45,3019,0.1366,27067,167233,0.824,26.27
14,204.95,294.39,232.03,284.75,243.27,117.1,117.89,0.032,0.579,0.439,0.484,659.38,243.56,2993,0.1333,27501,168723,0.801,26
15,207.86,296.22,234.39,282.56,240.31,117.25,117.64,0.03,0.583,0.4425,0.4276,676.97,247.84,3032,0.1314,27450,159152,0.769,26.09
16,204.25,294.91,228.15,286.56,246.76,116.4,118.4,0.032,0.573,0.4841,0.5009,673.74,242.49,2970,0.1349,27160,169284,0.829,26.05
17,209.88,298.6,237.26,285.8,244.31,117.39,117.94,0.026,0.576,0.4911,0.5061,664.52,245.52,2973,0.133,26848,162905,0.818,26.29
18,206.49,296.67,229.81,284.78,242.5,116.46,117.73,0.029,0.579,0.4461,0.4646,665.68,248.72,3024,0.134,27393,166346,0.795,26.11
19,208.82,298.84,235.96,286.91,240.55,117.12,116.9,0.027,0.574,0.4835,0.5072,659.33,248.6,3024,0.1354,26925,162049,0.815,26.34
20,206.25,298.84,235.88,286.22,240.69,117.11,117.07,0.028,0.575,0.4952,0.497,674.31,242.24,3018,0.1363,26936,165038,0.823,26.31
21,205.95,293.95,226.71,281.96,241.49,116.33,118.06,0.031,0.583,0.4411,0.4373,657.01,249.78,2970,0.1308,27762,168503,0.785,25.84
22,206.7,295.04,227.11,284.05,239.79,116.26,117.24,0.03,0.583,0.4275,0.4658,668.13,244.46,3026,0.1332,27545,164488,0.783,26
23,204.69,297.81,238.63,284.15,240.69,117.68,117.43,0.03,0.579,0.4783,0.4635,673.4,246.34,3017,0.135,27212,166491,0.808,26.21
24,204.25,296.3,231.39,280.63,238.72,116.7,117.6,0.032,0.588,0.5008,0.4411,656.32,242.07,2977,0.1329,27575,165503,0.796,25.91
25,206.99,297.71,236.9,285.75,245.69,117.43,118.26,0.028,0.575,0.4601,0.4697,657.92,249.55,3014,0.1339,27238,167186,0.806,26.24
26,205.5,293.08,228.55,287.05,240.52,116.72,116.91,0.033,0.574,0.4209,0.5041,669.79,247.29,3021,0.1345,27389,166026,0.802,26.04
27,205.92,297.25,237.97,279.28,239.29,117.64,117.93,0.03,0.592,0.4913,0.4177,660.22,247.54,2992,0.131,27538,160928,0.776,25.99
28,207.18,294.08,231.06,284.83,246.52,117.03,118.58,0.031,0.582,0.4105,0.4686,672.15,249.46,3015,0.1314,27469,163421,0.779,26.03
29,206.83,296.56,231.17,284.05,238.4,116.68,117.03,0.029,0.576,0.4935,0.4728,674.31,247.92,2974,0.1334,27136,164289,0.813,26.09
30,209.69,297.81,227.28,286.34,244.47,115.91,117.88,0.027,0.578,0.4854,0.4929,674.3,244.33,3017,0.1339,26944,157969,0.803,26.22
31,207.34,294.41,229.14,284.66,245.65,116.65,118.45,0.031,0.579,0.429,0.4486,663.14,244.63,3022,0.1317,27573,162283,0.777,26.02
32,206.93,295.24,235.49,281.69,240.2,117.55,117.74,0.031,0.585,0.4518,0.452,659.12,243.4,2976,0.1307,27545,164135,0.784,25.97
33,206.87,293.42,236.71,279.77,235.76,118,117.11,0.033,0.588,0.4147,0.4081,672.65,249.11,3006,0.1289,27836,160428,0.752,25.88
34,208.38,297.67,232.83,284.67,239.5,116.82,117.13,0.027,0.576,0.4785,0.4819,668.85,247.89,2984,0.1334,27089,164916,0.811,26.18
35,204.29,292.96,227.8,285.32,244.63,116.63,118.14,0.033,0.577,0.4238,0.4763,669.79,250.05,2993,0.1332,27553,169964,0.8,25.94
36,208.48,299.1,240.25,287.78,246.56,117.77,118.07,0.027,0.571,0.4878,0.5039,672.18,246.82,3016,0.1351,26758,162513,0.822,26.43
37,208.82,298.66,238.25,284.88,242.28,117.52,117.67,0.028,0.576,0.5003,0.4794,663.91,246.29,2987,0.1332,26963,161877,0.812,26.27
38,208.31,297.17,227.2,288.74,246.62,115.99,117.96,0.028,0.569,0.4579,0.5058,666.11,244.75,3022,0.1355,27044,165981,0.818,26.27
39,207.65,295.92,236.63,284.04,238.8,117.63,116.99,0.03,0.582,0.4481,0.4752,668.89,246.1,3020,0.1327,27288,160054,0.786,26.13
40,206.79,296.76,233.22,281.31,241.2,116.96,118.08,0.03,0.584,0.4858,0.4195,661.35,245.27,2989,0.1313,27505,162223,0.783,26.01
41,205.02,296.51,229.34,281.1,242.88,116.39,118.45,0.029,0.59,0.4623,0.4231,666.67,247.77,3009,0.1322,27642,165599,0.78,25.96
42,207.5,295.24,227.01,284.93,242.97,116.21,117.86,0.03,0.577,0.4531,0.4636,669.35,244.55,3000,0.1326,27373,163729,0.795,26.04
43,207.13,297.62,228.51,283.09,243.39,116.11,118.25,0.028,0.581,0.4826,0.4357,655.02,245.5,3004,0.1329,27464,164820,0.793,26.07
44,205.09,294,233.02,281.96,243.82,117.31,118.49,0.032,0.587,0.4109,0.4214,658.35,249.55,3029,0.1309,27904,165132,0.761,25.92
45,206.47,295.67,231.56,284.88,243.33,116.85,117.93,0.031,0.577,0.4641,0.4617,665.86,250.06,3007,0.1332,27332,163409,0.797,26.09
46,208.67,297.05,235.07,283.84,245.05,117.25,118.47,0.028,0.579,0.4612,0.4529,664.51,242.98,2991,0.1314,27292,163121,0.791,26.14
47,204.13,295.43,231.37,282.17,239.77,116.84,117.55,0.032,0.586,0.4747,0.4652,658.65,243.65,2979,0.1333,27540,167798,0.801,25.93
48,207.65,295.79,228.75,281.5,242.38,116.43,118.32,0.029,0.585,0.4595,0.4318,671.69,250.1,2976,0.1303,27485,163268,0.781,25.95
49,208.59,299.06,240.13,287.57,246.37,117.75,118.04,0.027,0.573,0.4753,0.503,663.16,246.91,3030,0.1351,26876,162292,0.814,26.42
50,209.24,297.47,228.42,281.15,236.85,116.15,117.1,0.027,0.588,0.4774,0.4377,676.67,246.38,3004,0.1314,27322,157795,0.777,26.03
51,207,295.72,233.06,280.57,241.19,117.09,118.04,0.03,0.596,0.459,0.459,666,246,3000,0.1307,27487,158666,0.77,25.94
52,207,295.72,233.06,278.86,240.61,117.09,118.13,0.03,0.605,0.459,0.459,666,246,3000,0.1299,27552,156977,0.76,25.87
53,207,295.72,233.06,276.79,239.94,117.09,118.24,0.03,0.616,0.459,0.459,666,246,3000,0.129,27632,155208,0.748,25.8
54,207,295.72,233.06,274.28,239.15,117.09,118.38,0.03,0.631,0.459,0.459,666,246,3000,0.1279,27732,153333,0.734,25.71